"filename", "language", "Python", "Batch", "PowerShell", "Properties", "JSON", "XML", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Dev\CirclePlan\CirclePlan\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Dev\CirclePlan\CirclePlan\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Dev\CirclePlan\CirclePlan\settings.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 68, 236
"c:\Dev\CirclePlan\CirclePlan\static\css\admin.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 22, 71
"c:\Dev\CirclePlan\CirclePlan\static\css\all.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 2584, 0, 6, 1240, 3830
"c:\Dev\CirclePlan\CirclePlan\static\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 5623, 0, 6, 744, 6373
"c:\Dev\CirclePlan\CirclePlan\static\css\lightbox.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 1, 179
"c:\Dev\CirclePlan\CirclePlan\static\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 19, 102
"c:\Dev\CirclePlan\CirclePlan\static\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Dev\CirclePlan\CirclePlan\static\js\jquery-3.3.1.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Dev\CirclePlan\CirclePlan\static\js\lightbox.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 14, 0, 15
"c:\Dev\CirclePlan\CirclePlan\static\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 10, 21
"c:\Dev\CirclePlan\CirclePlan\static\webfonts\fa-brands-400.svg", "XML", 0, 0, 0, 0, 0, 1154, 0, 0, 0, 0, 0, 1, 1155
"c:\Dev\CirclePlan\CirclePlan\static\webfonts\fa-regular-400.svg", "XML", 0, 0, 0, 0, 0, 467, 0, 0, 0, 0, 0, 1, 468
"c:\Dev\CirclePlan\CirclePlan\static\webfonts\fa-solid-900.svg", "XML", 0, 0, 0, 0, 0, 2444, 0, 0, 0, 0, 0, 1, 2445
"c:\Dev\CirclePlan\CirclePlan\urls.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"c:\Dev\CirclePlan\CirclePlan\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Dev\CirclePlan\accounts\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Dev\CirclePlan\accounts\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Dev\CirclePlan\accounts\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Dev\CirclePlan\accounts\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Dev\CirclePlan\accounts\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Dev\CirclePlan\accounts\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Dev\CirclePlan\accounts\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Dev\CirclePlan\accounts\views.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22, 82
"c:\Dev\CirclePlan\attendance\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Dev\CirclePlan\attendance\admin.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24, 83
